Store_ID,T_Date,Region,Brand,NetAmount_Local
S0453,2025-03-17,Vietnam,Pizza Hut,3693582.31
S0377,2025-03-17,Vietnam,Pizza Hut,1539870.21
S0505,2025-03-17,Vietnam,Pizza Hut,9037124.1
S0345,2025-03-17,Vietnam,Pizza Hut,3928726.72
S0403,2025-03-17,Vietnam,Pizza Hut,5915610.94
S0494,2024-03-19,Vietnam,Pizza Hut,9262475.75
S0502,2024-03-19,Vietnam,Pizza Hut,9812065.69
S0505,2024-03-19,Vietnam,Pizza Hut,11483031.71
S0485,2024-03-19,Vietnam,Pizza Hut,13664029.97
S0383,2024-03-19,Vietnam,Pizza Hut,8063843.88
S0509,2024-03-19,Vietnam,Pizza Hut,13019636.48
S0424,2024-03-19,Vietnam,Pizza Hut,8616149.16
S0461,2024-03-19,Vietnam,Pizza Hut,10173442.2
S0443,2024-03-19,Vietnam,Pizza Hut,10159720.85
S0367,2024-03-19,Vietnam,Pizza Hut,5869585.46
S0469,2024-03-19,Vietnam,Pizza Hut,9587827.08
S0364,2024-03-19,Vietnam,Pizza Hut,6972774.62
S0403,2024-03-19,Vietnam,Pizza Hut,12840295.95
S0397,2024-03-19,Vietnam,Pizza Hut,15251866.55
S0344,2024-03-19,Vietnam,Pizza Hut,4393479.94
S0375,2024-03-19,Vietnam,Pizza Hut,5393351.97
S0377,2024-03-19,Vietnam,Pizza Hut,2275931.59
S0455,2024-03-19,Vietnam,Pizza Hut,3777351.9
S0386,2025-02-12,Vietnam,Pizza Hut,6682430.47
S0363,2025-02-12,Vietnam,Pizza Hut,9973610.54
S0475,2025-02-12,Vietnam,Pizza Hut,22716465.16
S0454,2025-02-12,Vietnam,Pizza Hut,10128860.1
S0388,2025-02-12,Vietnam,Pizza Hut,13850232.22
S0392,2025-02-12,Vietnam,Pizza Hut,20606114.88
S0425,2025-02-12,Vietnam,Pizza Hut,17808912.05
S0459,2025-02-12,Vietnam,Pizza Hut,7936702.59
S0460,2025-02-12,Vietnam,Pizza Hut,11870248.12
S0467,2025-02-12,Vietnam,Pizza Hut,8125311.82
S0465,2025-02-12,Vietnam,Pizza Hut,21144507.88
S0422,2025-02-12,Vietnam,Pizza Hut,4448323.94
S0414,2025-02-12,Vietnam,Pizza Hut,2124694.35
S0421,2025-03-05,Vietnam,Pizza Hut,7325128.84
S0402,2025-03-05,Vietnam,Pizza Hut,11365149.49
S0480,2025-03-05,Vietnam,Pizza Hut,20198563.68
S0386,2025-03-05,Vietnam,Pizza Hut,9675018.18
S0390,2025-03-05,Vietnam,Pizza Hut,19427600.3
S0430,2025-03-05,Vietnam,Pizza Hut,16446550.04
S0432,2025-03-05,Vietnam,Pizza Hut,17427912.34
S0439,2025-03-05,Vietnam,Pizza Hut,12306899.92
S0442,2025-03-05,Vietnam,Pizza Hut,7478080.6
S0447,2025-03-05,Vietnam,Pizza Hut,7709615.08
S0449,2025-03-05,Vietnam,Pizza Hut,12823191.94
S0509,2025-03-05,Vietnam,Pizza Hut,21542299.22
S0417,2025-03-05,Vietnam,Pizza Hut,15004716.43
S0420,2025-03-05,Vietnam,Pizza Hut,4867929.74
S0502,2025-03-05,Vietnam,Pizza Hut,14069501.02
S0357,2025-03-05,Vietnam,Pizza Hut,12390050.53
S0376,2025-03-05,Vietnam,Pizza Hut,17429166.59
S0372,2025-03-05,Vietnam,Pizza Hut,9495321.77
S0379,2025-03-05,Vietnam,Pizza Hut,11535741.57
S0439,2025-02-11,Vietnam,Pizza Hut,11435143.34
S0455,2025-02-11,Vietnam,Pizza Hut,6460549.4
S0352,2025-02-11,Vietnam,Pizza Hut,18612525.12
S0506,2025-02-11,Vietnam,Pizza Hut,12465293.63
S0436,2025-02-11,Vietnam,Pizza Hut,13181327.93
S0442,2025-02-11,Vietnam,Pizza Hut,6234659.04
S0404,2025-02-11,Vietnam,Pizza Hut,11390518.03
S0430,2025-02-11,Vietnam,Pizza Hut,8705380.57
S0381,2025-02-11,Vietnam,Pizza Hut,7821023.12
S0420,2025-02-11,Vietnam,Pizza Hut,10742304.37
S0462,2025-02-11,Vietnam,Pizza Hut,8906813.01
S0354,2025-02-11,Vietnam,Pizza Hut,9092850.89
S0388,2025-02-11,Vietnam,Pizza Hut,14749162.84
S0498,2025-02-11,Vietnam,Pizza Hut,7062644.82
S0421,2025-03-18,Vietnam,Pizza Hut,6419116.11
S0430,2025-03-18,Vietnam,Pizza Hut,9655479.79
S0439,2025-03-18,Vietnam,Pizza Hut,14842880.56
S0460,2025-03-18,Vietnam,Pizza Hut,13936824.93
S0461,2025-03-18,Vietnam,Pizza Hut,11561910.23
S0506,2025-03-18,Vietnam,Pizza Hut,15824128.59
S0393,2025-03-18,Vietnam,Pizza Hut,5826657.24
S0398,2025-03-18,Vietnam,Pizza Hut,7444467.61
S0442,2025-03-18,Vietnam,Pizza Hut,11922375.25
S0451,2025-03-18,Vietnam,Pizza Hut,8365643.99
S0412,2025-03-18,Vietnam,Pizza Hut,8227220.15
S0354,2025-03-18,Vietnam,Pizza Hut,4523934.99
S0355,2025-03-18,Vietnam,Pizza Hut,15846989.33
S0458,2025-03-18,Vietnam,Pizza Hut,8123039.51
S0353,2025-02-27,Vietnam,Pizza Hut,13325168.35
S0418,2025-02-27,Vietnam,Pizza Hut,8563584.63
S0459,2025-02-27,Vietnam,Pizza Hut,8303841.61
S0499,2025-02-27,Vietnam,Pizza Hut,15456196.88
S0394,2025-02-27,Vietnam,Pizza Hut,19850124.94
S0409,2025-02-27,Vietnam,Pizza Hut,10117922.57
S0368,2025-02-27,Vietnam,Pizza Hut,2570701.44
S0371,2025-02-27,Vietnam,Pizza Hut,11556949.43
S0422,2025-02-27,Vietnam,Pizza Hut,5814700.44
S0380,2025-02-27,Vietnam,Pizza Hut,5759321.43
S0403,2025-03-10,Vietnam,Pizza Hut,8577441.89
S0412,2025-03-10,Vietnam,Pizza Hut,9254408.03
S0455,2025-03-10,Vietnam,Pizza Hut,9842265.27
S0459,2025-03-10,Vietnam,Pizza Hut,5055750.5
S0389,2025-03-10,Vietnam,Pizza Hut,9522466.76
S0356,2025-03-10,Vietnam,Pizza Hut,11969366.75
S0382,2025-03-10,Vietnam,Pizza Hut,9332850.93
S0402,2025-03-10,Vietnam,Pizza Hut,10553835.6
S0442,2025-03-10,Vietnam,Pizza Hut,11349317.07
S0392,2025-03-10,Vietnam,Pizza Hut,12325519.45
S0394,2025-03-10,Vietnam,Pizza Hut,12826965.09
S0376,2025-03-10,Vietnam,Pizza Hut,5792087.4
S0499,2025-03-10,Vietnam,Pizza Hut,4580795.62
S0346,2025-03-10,Vietnam,Pizza Hut,7482907.75
S0458,2025-03-10,Vietnam,Pizza Hut,7859590.01
S0355,2025-03-10,Vietnam,Pizza Hut,9196246.92
S0465,2025-03-10,Vietnam,Pizza Hut,9681719.81
S0499,2024-03-12,Vietnam,Pizza Hut,12148298.95
S0427,2024-03-12,Vietnam,Pizza Hut,14629846.68
S0406,2024-03-12,Vietnam,Pizza Hut,10767248.82
S0361,2024-03-12,Vietnam,Pizza Hut,10340461.62
S0490,2024-03-12,Vietnam,Pizza Hut,9438954.45
S0447,2024-03-12,Vietnam,Pizza Hut,12527153.94
S0397,2024-03-12,Vietnam,Pizza Hut,18302873.3
S0404,2024-03-12,Vietnam,Pizza Hut,12679911.8
S0402,2024-03-12,Vietnam,Pizza Hut,6551513.87
S0423,2024-03-12,Vietnam,Pizza Hut,12125648.85
S0366,2024-03-12,Vietnam,Pizza Hut,6211494.66
S0509,2024-03-12,Vietnam,Pizza Hut,21498318.63
S0386,2024-03-12,Vietnam,Pizza Hut,4913694.27
S0362,2024-03-12,Vietnam,Pizza Hut,9343534.94
S0460,2024-03-12,Vietnam,Pizza Hut,8352954.19
S0346,2024-03-12,Vietnam,Pizza Hut,1690857.96
S0467,2024-03-12,Vietnam,Pizza Hut,7297277.61
S0440,2025-02-25,Vietnam,Pizza Hut,15086196.13
S0365,2025-02-25,Vietnam,Pizza Hut,9299836.06
S0407,2025-02-25,Vietnam,Pizza Hut,7064258.2
S0397,2025-02-25,Vietnam,Pizza Hut,20132440.92
S0452,2025-02-25,Vietnam,Pizza Hut,8325818.73
S0362,2025-02-25,Vietnam,Pizza Hut,11890901.62
S0372,2025-02-25,Vietnam,Pizza Hut,10169333.8
S0506,2025-02-25,Vietnam,Pizza Hut,9286158.57
S0406,2025-02-25,Vietnam,Pizza Hut,6744139.2
S0503,2025-02-25,Vietnam,Pizza Hut,5748560.63
S0366,2025-02-25,Vietnam,Pizza Hut,7767420.12
S0415,2025-02-25,Vietnam,Pizza Hut,5225880.37
S0364,2025-02-25,Vietnam,Pizza Hut,8396665.02
S0382,2025-02-19,Vietnam,Pizza Hut,23150276.45
S0389,2025-02-19,Vietnam,Pizza Hut,9633963.39
S0407,2025-02-19,Vietnam,Pizza Hut,10833352.84
S0399,2025-02-19,Vietnam,Pizza Hut,16690972.0
S0402,2025-02-19,Vietnam,Pizza Hut,8385931.69
S0425,2025-02-19,Vietnam,Pizza Hut,12853298.52
S0450,2025-02-19,Vietnam,Pizza Hut,11825011.62
S0496,2025-02-19,Vietnam,Pizza Hut,8466004.89
S0432,2025-02-19,Vietnam,Pizza Hut,14487059.09
S0420,2025-02-19,Vietnam,Pizza Hut,6900952.82
S0364,2025-02-19,Vietnam,Pizza Hut,9320495.54
S0463,2025-02-19,Vietnam,Pizza Hut,6664439.64
S0377,2025-02-19,Vietnam,Pizza Hut,5562037.33
S0407,2025-02-21,Vietnam,Pizza Hut,18501883.57
S0441,2025-02-21,Vietnam,Pizza Hut,18669289.12
S0463,2025-02-21,Vietnam,Pizza Hut,5161917.03
S0456,2025-02-21,Vietnam,Pizza Hut,22977560.38
S0397,2025-02-21,Vietnam,Pizza Hut,33077508.46
S0394,2025-02-21,Vietnam,Pizza Hut,26048476.11
S0384,2025-02-21,Vietnam,Pizza Hut,19605185.87
S0371,2025-02-21,Vietnam,Pizza Hut,15368189.3
S0445,2025-02-21,Vietnam,Pizza Hut,24895801.23
S0496,2025-02-21,Vietnam,Pizza Hut,16395782.95
S0381,2025-02-21,Vietnam,Pizza Hut,18571366.1
S0372,2025-02-21,Vietnam,Pizza Hut,11350518.13
S0466,2025-02-21,Vietnam,Pizza Hut,13422311.63
S0506,2025-02-21,Vietnam,Pizza Hut,10510567.23
S0409,2025-02-21,Vietnam,Pizza Hut,13776522.92
S0454,2025-02-21,Vietnam,Pizza Hut,10168349.72
S0414,2025-02-21,Vietnam,Pizza Hut,3298334.53
S0388,2025-02-13,Vietnam,Pizza Hut,18868879.95
S0362,2025-02-13,Vietnam,Pizza Hut,15054645.23
S0421,2025-02-13,Vietnam,Pizza Hut,7236866.1
S0359,2025-02-13,Vietnam,Pizza Hut,10787604.5
S0509,2025-02-13,Vietnam,Pizza Hut,14719188.12
S0358,2025-02-13,Vietnam,Pizza Hut,14794899.5
S0389,2025-02-13,Vietnam,Pizza Hut,16003190.6
S0367,2025-02-13,Vietnam,Pizza Hut,6363800.16
S0420,2025-02-13,Vietnam,Pizza Hut,15712914.06
S0354,2025-02-13,Vietnam,Pizza Hut,7607108.15
S0346,2025-02-13,Vietnam,Pizza Hut,4711960.35
S0376,2025-02-13,Vietnam,Pizza Hut,3025771.99
S0419,2025-03-19,Vietnam,Pizza Hut,8676695.09
S0453,2025-03-19,Vietnam,Pizza Hut,10000904.89
S0357,2025-03-19,Vietnam,Pizza Hut,13181033.09
S0374,2025-03-19,Vietnam,Pizza Hut,11178381.67
S0382,2025-03-19,Vietnam,Pizza Hut,19659676.82
S0480,2025-03-19,Vietnam,Pizza Hut,16110324.19
S0501,2025-03-19,Vietnam,Pizza Hut,12036706.81
S0398,2025-03-19,Vietnam,Pizza Hut,16745458.83
S0358,2025-03-19,Vietnam,Pizza Hut,8166632.31
S0361,2025-03-19,Vietnam,Pizza Hut,10001249.13
S0406,2025-03-19,Vietnam,Pizza Hut,4718821.89
S0429,2025-03-19,Vietnam,Pizza Hut,7577909.96
S0365,2025-03-19,Vietnam,Pizza Hut,9416548.86
S0379,2025-03-19,Vietnam,Pizza Hut,8426357.4
S0463,2025-03-19,Vietnam,Pizza Hut,5393893.01
S0493,2024-02-19,Vietnam,Pizza Hut,10739409.3
S0421,2024-02-19,Vietnam,Pizza Hut,10872935.73
S0355,2024-02-19,Vietnam,Pizza Hut,9866349.45
S0459,2024-02-19,Vietnam,Pizza Hut,6831927.41
S0373,2024-02-19,Vietnam,Pizza Hut,15286482.97
S0464,2024-02-19,Vietnam,Pizza Hut,2636284.01
S0416,2024-02-19,Vietnam,Pizza Hut,9368032.27
S0375,2024-02-19,Vietnam,Pizza Hut,10370464.03
S0449,2024-02-19,Vietnam,Pizza Hut,8041094.71
S0358,2024-02-19,Vietnam,Pizza Hut,5408771.72
S0362,2024-02-19,Vietnam,Pizza Hut,16534012.51
S0467,2024-02-19,Vietnam,Pizza Hut,7321564.97
S0429,2024-02-19,Vietnam,Pizza Hut,8892898.24
S0401,2024-02-19,Vietnam,Pizza Hut,11369689.02
S0392,2024-02-19,Vietnam,Pizza Hut,6086371.22
S0498,2024-02-19,Vietnam,Pizza Hut,7283597.0
S0369,2024-02-19,Vietnam,Pizza Hut,14422924.44
S0354,2024-02-19,Vietnam,Pizza Hut,5156711.74
S0371,2024-02-19,Vietnam,Pizza Hut,7028304.78
S0418,2024-02-19,Vietnam,Pizza Hut,9411558.31
S0376,2024-02-19,Vietnam,Pizza Hut,4584122.37
S0411,2024-02-19,Vietnam,Pizza Hut,7406992.2
S0398,2024-02-19,Vietnam,Pizza Hut,9296851.1
S0346,2024-02-19,Vietnam,Pizza Hut,5335940.19
S0509,2024-02-26,Vietnam,Pizza Hut,18662034.22
S0424,2024-02-26,Vietnam,Pizza Hut,8560749.76
S0366,2024-02-26,Vietnam,Pizza Hut,9725310.77
S0393,2024-02-26,Vietnam,Pizza Hut,9500305.07
S0401,2024-02-26,Vietnam,Pizza Hut,5652433.12
S0381,2024-02-26,Vietnam,Pizza Hut,15613412.06
S0423,2024-02-26,Vietnam,Pizza Hut,12138726.64
S0359,2024-02-26,Vietnam,Pizza Hut,8574346.2
S0475,2024-02-26,Vietnam,Pizza Hut,21415071.45
S0467,2024-02-26,Vietnam,Pizza Hut,8017666.72
S0422,2024-02-26,Vietnam,Pizza Hut,4143080.15
S0466,2024-03-13,Vietnam,Pizza Hut,6313512.33
S0353,2024-03-13,Vietnam,Pizza Hut,12978631.32
S0379,2024-03-13,Vietnam,Pizza Hut,12394855.95
S0445,2024-03-13,Vietnam,Pizza Hut,12131594.63
S0409,2024-03-13,Vietnam,Pizza Hut,7776780.39
S0387,2024-03-13,Vietnam,Pizza Hut,8551788.41
S0450,2024-03-13,Vietnam,Pizza Hut,9576712.52
S0371,2024-03-13,Vietnam,Pizza Hut,10734490.0
S0390,2024-03-13,Vietnam,Pizza Hut,20109130.8
S0404,2024-03-13,Vietnam,Pizza Hut,14040347.32
S0361,2024-03-13,Vietnam,Pizza Hut,9609051.97
S0400,2024-03-13,Vietnam,Pizza Hut,7108670.61
S0397,2024-03-13,Vietnam,Pizza Hut,20147127.69
S0393,2024-03-13,Vietnam,Pizza Hut,4070961.15
S0392,2024-03-13,Vietnam,Pizza Hut,9648235.76
S0456,2024-03-13,Vietnam,Pizza Hut,19863412.45
S0469,2024-03-13,Vietnam,Pizza Hut,9433953.75
S0465,2024-03-13,Vietnam,Pizza Hut,9064689.0
S0370,2024-03-13,Vietnam,Pizza Hut,7960110.88
S0436,2024-03-13,Vietnam,Pizza Hut,6947069.78
S0503,2024-02-22,Vietnam,Pizza Hut,5356849.18
S0389,2024-02-22,Vietnam,Pizza Hut,14523649.69
S0390,2024-02-22,Vietnam,Pizza Hut,15315165.45
S0435,2024-02-22,Vietnam,Pizza Hut,4987552.52
S0439,2024-02-22,Vietnam,Pizza Hut,9482474.77
S0464,2024-02-22,Vietnam,Pizza Hut,7202805.97
S0454,2024-02-22,Vietnam,Pizza Hut,3487039.08
S0401,2024-02-22,Vietnam,Pizza Hut,9070934.46
S0427,2024-02-22,Vietnam,Pizza Hut,10883900.01
S0397,2024-02-22,Vietnam,Pizza Hut,22714565.28
S0423,2024-02-22,Vietnam,Pizza Hut,11039840.61
S0432,2024-02-22,Vietnam,Pizza Hut,12443733.81
S0419,2024-02-22,Vietnam,Pizza Hut,5185474.69
S0458,2024-02-22,Vietnam,Pizza Hut,8499645.09
S0360,2024-02-22,Vietnam,Pizza Hut,6221387.82
S0369,2024-02-22,Vietnam,Pizza Hut,8940626.4
S0430,2024-02-22,Vietnam,Pizza Hut,10492846.55
S0501,2024-02-22,Vietnam,Pizza Hut,11326481.92
S0496,2024-02-22,Vietnam,Pizza Hut,9556873.36
S0448,2025-02-26,Vietnam,Pizza Hut,5354467.28
S0439,2025-02-26,Vietnam,Pizza Hut,18290140.2
S0461,2025-02-26,Vietnam,Pizza Hut,9625299.01
S0375,2025-02-26,Vietnam,Pizza Hut,7977185.23
S0445,2025-02-26,Vietnam,Pizza Hut,10220796.25
S0374,2025-02-26,Vietnam,Pizza Hut,10948358.35
S0404,2025-02-26,Vietnam,Pizza Hut,11187686.94
S0494,2025-02-26,Vietnam,Pizza Hut,13251889.47
S0509,2025-02-26,Vietnam,Pizza Hut,20055678.65
S0358,2025-02-26,Vietnam,Pizza Hut,7673725.58
S0417,2025-02-26,Vietnam,Pizza Hut,17624849.94
S0502,2025-02-26,Vietnam,Pizza Hut,8859320.81
S0353,2025-02-26,Vietnam,Pizza Hut,9761862.63
S0398,2025-02-26,Vietnam,Pizza Hut,12912062.08
S0405,2025-02-26,Vietnam,Pizza Hut,5762927.27
S0402,2025-02-26,Vietnam,Pizza Hut,11214685.02
S0393,2025-02-26,Vietnam,Pizza Hut,7399853.98
S0366,2025-02-26,Vietnam,Pizza Hut,15835202.84
S0415,2025-02-26,Vietnam,Pizza Hut,10344173.81
S0360,2024-02-21,Vietnam,Pizza Hut,12671117.39
S0503,2024-02-21,Vietnam,Pizza Hut,8672066.49
S0376,2024-02-21,Vietnam,Pizza Hut,3808275.8
S0505,2024-02-21,Vietnam,Pizza Hut,8130564.54
S0411,2024-02-21,Vietnam,Pizza Hut,10654143.4
S0382,2024-02-21,Vietnam,Pizza Hut,19342718.38
S0347,2024-02-21,Vietnam,Pizza Hut,4580414.67
S0416,2024-02-21,Vietnam,Pizza Hut,5774083.6
S0489,2024-02-21,Vietnam,Pizza Hut,14537334.37
S0429,2024-02-21,Vietnam,Pizza Hut,4825717.95
S0361,2024-02-21,Vietnam,Pizza Hut,9547275.77
S0436,2024-02-21,Vietnam,Pizza Hut,7769055.43
S0507,2024-02-21,Vietnam,Pizza Hut,10193398.93
S0455,2024-02-21,Vietnam,Pizza Hut,2408542.0
S0352,2025-02-18,Vietnam,Pizza Hut,10485485.18
S0362,2025-02-18,Vietnam,Pizza Hut,14506012.24
S0403,2025-02-18,Vietnam,Pizza Hut,10810755.93
S0404,2025-02-18,Vietnam,Pizza Hut,10222796.14
S0411,2025-02-18,Vietnam,Pizza Hut,13116936.0
S0413,2025-02-18,Vietnam,Pizza Hut,9059517.86
S0429,2025-02-18,Vietnam,Pizza Hut,7264056.46
S0409,2025-02-18,Vietnam,Pizza Hut,9932455.96
S0501,2025-02-18,Vietnam,Pizza Hut,12381075.25
S0375,2025-02-18,Vietnam,Pizza Hut,8178343.62
S0395,2025-02-18,Vietnam,Pizza Hut,5032978.01
S0418,2025-02-18,Vietnam,Pizza Hut,5221915.72
S0419,2025-02-18,Vietnam,Pizza Hut,7985278.91
S0449,2025-02-18,Vietnam,Pizza Hut,4735682.32
S0452,2025-02-18,Vietnam,Pizza Hut,7611852.2
S0380,2025-02-18,Vietnam,Pizza Hut,1648509.01
S0458,2025-02-18,Vietnam,Pizza Hut,6378298.55
S0463,2025-02-18,Vietnam,Pizza Hut,5887682.59
S0422,2024-03-04,Vietnam,Pizza Hut,5059902.83
S0397,2024-03-04,Vietnam,Pizza Hut,19014353.25
S0389,2024-03-04,Vietnam,Pizza Hut,7478534.53
S0393,2024-03-04,Vietnam,Pizza Hut,5321870.64
S0461,2024-03-04,Vietnam,Pizza Hut,11400772.76
S0435,2024-03-04,Vietnam,Pizza Hut,5474660.76
S0433,2024-03-04,Vietnam,Pizza Hut,5574871.76
S0450,2024-03-04,Vietnam,Pizza Hut,13729089.26
S0360,2024-03-04,Vietnam,Pizza Hut,7479741.42
S0399,2024-03-04,Vietnam,Pizza Hut,9674544.63
S0501,2024-03-04,Vietnam,Pizza Hut,7512816.62
S0440,2024-03-04,Vietnam,Pizza Hut,12727470.32
S0475,2024-03-04,Vietnam,Pizza Hut,14951837.57
S0405,2024-03-04,Vietnam,Pizza Hut,2636265.07
S0377,2024-03-04,Vietnam,Pizza Hut,3007416.12
S0391,2024-03-04,Vietnam,Pizza Hut,7335983.14
S0389,2024-03-05,Vietnam,Pizza Hut,8880815.28
S0383,2024-03-05,Vietnam,Pizza Hut,12918435.56
S0503,2024-03-05,Vietnam,Pizza Hut,8005102.55
S0460,2024-03-05,Vietnam,Pizza Hut,12998115.79
S0357,2024-03-05,Vietnam,Pizza Hut,12535847.22
S0399,2024-03-05,Vietnam,Pizza Hut,15821204.49
S0375,2024-03-05,Vietnam,Pizza Hut,7121192.74
S0423,2024-03-05,Vietnam,Pizza Hut,10924534.21
S0429,2024-03-05,Vietnam,Pizza Hut,14103437.23
S0480,2024-03-05,Vietnam,Pizza Hut,23642764.93
S0434,2024-03-05,Vietnam,Pizza Hut,6752347.57
S0449,2024-03-05,Vietnam,Pizza Hut,7021107.01
S0433,2024-03-05,Vietnam,Pizza Hut,8126474.74
S0445,2024-03-05,Vietnam,Pizza Hut,7519717.79
S0392,2024-03-05,Vietnam,Pizza Hut,9262669.82
S0502,2024-03-05,Vietnam,Pizza Hut,9855593.87
S0455,2024-03-05,Vietnam,Pizza Hut,4282504.67
S0430,2025-02-22,Vietnam,Pizza Hut,20865538.32
S0397,2025-02-22,Vietnam,Pizza Hut,97823768.36
S0509,2025-02-22,Vietnam,Pizza Hut,23628566.97
S0498,2025-02-22,Vietnam,Pizza Hut,30958019.46
S0436,2025-02-22,Vietnam,Pizza Hut,18633049.6
S0391,2025-02-22,Vietnam,Pizza Hut,18712214.8
S0364,2025-02-22,Vietnam,Pizza Hut,18815975.82
S0398,2025-02-22,Vietnam,Pizza Hut,20459831.11
S0493,2025-02-22,Vietnam,Pizza Hut,17418105.68
S0411,2025-02-22,Vietnam,Pizza Hut,31243350.52
S0475,2025-02-22,Vietnam,Pizza Hut,26790987.26
S0412,2025-02-22,Vietnam,Pizza Hut,17511215.43
S0447,2025-02-22,Vietnam,Pizza Hut,29534807.83
S0467,2025-02-22,Vietnam,Pizza Hut,21198048.6
S0405,2025-02-24,Vietnam,Pizza Hut,2449559.94
S0406,2025-02-24,Vietnam,Pizza Hut,9027038.2
S0419,2025-02-24,Vietnam,Pizza Hut,10462948.91
S0468,2025-02-24,Vietnam,Pizza Hut,6305333.99
S0494,2025-02-24,Vietnam,Pizza Hut,5996248.66
S0499,2025-02-24,Vietnam,Pizza Hut,8441763.86
S0502,2025-02-24,Vietnam,Pizza Hut,7080658.18
S0355,2025-02-24,Vietnam,Pizza Hut,17063267.06
S0422,2025-02-24,Vietnam,Pizza Hut,2153087.9
S0442,2025-02-24,Vietnam,Pizza Hut,6373968.4
S0458,2025-02-24,Vietnam,Pizza Hut,10160906.28
S0358,2025-02-24,Vietnam,Pizza Hut,1626705.42
S0384,2024-02-20,Vietnam,Pizza Hut,18211179.6
S0450,2024-02-20,Vietnam,Pizza Hut,8555143.06
S0396,2024-02-20,Vietnam,Pizza Hut,11522604.12
S0454,2024-02-20,Vietnam,Pizza Hut,6676322.87
S0383,2024-02-20,Vietnam,Pizza Hut,9995234.96
S0389,2024-02-20,Vietnam,Pizza Hut,11675107.24
S0377,2024-02-20,Vietnam,Pizza Hut,5471661.86
S0411,2024-02-20,Vietnam,Pizza Hut,8782100.85
S0424,2024-02-20,Vietnam,Pizza Hut,8450535.93
S0378,2024-02-20,Vietnam,Pizza Hut,5694208.35
S0353,2024-02-20,Vietnam,Pizza Hut,14968438.12
S0402,2024-02-20,Vietnam,Pizza Hut,9140345.1
S0413,2024-02-20,Vietnam,Pizza Hut,9783366.06
S0447,2024-02-20,Vietnam,Pizza Hut,5912206.51
S0443,2024-02-20,Vietnam,Pizza Hut,4003500.19
S0365,2024-02-20,Vietnam,Pizza Hut,9803858.79
S0464,2024-02-20,Vietnam,Pizza Hut,4993621.45
S0509,2024-03-22,Vietnam,Pizza Hut,17450772.1
S0502,2024-03-22,Vietnam,Pizza Hut,14443291.03
S0353,2024-03-22,Vietnam,Pizza Hut,11582488.38
S0493,2024-03-22,Vietnam,Pizza Hut,15154657.51
S0469,2024-03-22,Vietnam,Pizza Hut,12289277.01
S0465,2024-03-22,Vietnam,Pizza Hut,15152155.46
S0393,2024-03-22,Vietnam,Pizza Hut,7671239.84
